Date,TotalCases,Recoveries,Deaths
20-Mar,202,0,0
21-Mar,240,0,0
22-Mar,274,0,0
23-Mar,402,0,0
24-Mar,554,0,0
25-Mar,709,0,0
26-Mar,927,0,0
27-Mar,1170,31,1
28-Mar,1187,31,1
29-Mar,1280,31,2
30-Mar,1326,31,3
31-Mar,1353,31,5
01-Apr,1380,31,5
02-Apr,1462,31,5
03-Apr,1505,45,7
04-Apr,1585,45,9
05-Apr,1655,45,11
06-Apr,1686,45,12
07-Apr,1749,45,13
08-Apr,1845,45,18
09-Apr,1934,45,18
10-Apr,2003,45,24
11-Apr,2028,410,25
12-Apr,2173,410,25
13-Apr,2272,410,27
14-Apr,2415,410,27
15-Apr,2506,410,34
16-Apr,2605,903,48
17-Apr,2783,903,50
18-Apr,3034,903,52
19-Apr,3158,903,54
20-Apr,3300,1055,58
21-Apr,3465,1055,58
